Thickness,Time,Outer_Temperature,Profile
0.01,0,20,sin
0.01,7.5187969924812,20.0074012463021,sin
0.01,15.0375939849624,20.0159473386307,sin
0.01,22.5563909774436,20.0470887956297,sin
0.01,30.0751879699248,20.0990205749847,sin
0.01,37.593984962406,20.1708084856495,sin
0.01,45.1127819548872,20.2594865899845,sin
0.01,52.6315789473684,20.3626955354826,sin
0.01,60.1503759398496,20.478416913108,sin
0.01,67.6691729323308,20.6037607112101,sin
0.01,75.187969924812,20.7363846524765,sin
0.01,82.7067669172932,20.8756397883759,sin
0.01,90.2255639097744,21.0190094349167,sin
0.01,97.7443609022556,21.1652436708468,sin
0.01,105.263157894737,21.3135920737935,sin
0.01,112.781954887218,21.4621968670504,sin
0.01,120.300751879699,21.6104701463963,sin
0.01,127.81954887218,21.7569927450334,sin
0.01,135.338345864662,21.9006295139715,sin
0.01,142.857142857143,22.0403754261565,sin
0.01,150.375939849624,22.1750368610786,sin
0.01,157.894736842105,22.3043554656391,sin
0.01,165.413533834586,22.4268655416069,sin
0.01,172.932330827068,22.5414216722435,sin
0.01,180.451127819549,22.6469600308948,sin
0.01,187.96992481203,22.7424167909066,sin
0.01,195.488721804511,22.8267281256245,sin
0.01,203.007518796992,22.9018875011337,sin
0.01,210.526315789474,22.9656488407188,sin
0.01,218.045112781955,23.0168945923956,sin
0.01,225.563909774436,23.0547916553486,sin
0.01,233.082706766917,23.0785069287621,sin
0.01,240.601503759398,23.0872073118206,sin
0.01,248.12030075188,23.0855513700593,sin
0.01,255.639097744361,23.0705769788819,sin
0.01,263.157894736842,23.041357502913,sin
0.01,270.676691729323,22.9974739421777,sin
0.01,278.195488721805,22.9385072967013,sin
0.01,285.714285714286,22.8640385665092,sin
0.01,293.233082706767,22.7804206702059,sin
0.01,300.751879699248,22.6863957027896,sin
0.01,308.270676691729,22.5821555100645,sin
0.01,315.789473684211,22.4671600963269,sin
0.01,323.308270676692,22.3188607649322,sin
0.01,330.827067669173,22.1787373443185,sin
0.01,338.345864661654,22.0849271808885,sin
0.01,345.864661654135,22.0405158764478,sin
0.01,353.383458646617,22.030656257529,sin
0.01,360.902255639098,22.0400228412337,sin
0.01,368.421052631579,22.0682846856568,sin
0.01,375.93984962406,22.112419593041,sin
0.01,383.458646616541,22.1695958883811,sin
0.01,390.977443609023,22.2383035199791,sin
0.01,398.496240601504,22.315643886254,sin
0.01,406.015037593985,22.3979069653271,sin
0.01,413.533834586466,22.4875706198816,sin
0.01,421.052631578947,22.5819528093493,sin
0.01,428.571428571429,22.677141612029,sin
0.01,436.09022556391,22.7757821795131,sin
0.01,443.609022556391,22.8743186084022,sin
0.01,451.127819548872,22.9703476811769,sin
0.01,458.646616541353,23.0659888507065,sin
0.01,466.165413533835,23.1571566405744,sin
0.01,473.684210526316,23.2430686256198,sin
0.01,481.203007518797,23.325158488903,sin
0.01,488.721804511278,23.4008082164296,sin
0.01,496.240601503759,23.4687653921716,sin
0.01,503.759398496241,23.528358013561,sin
0.01,511.278195488722,23.5785496675457,sin
0.01,518.796992481203,23.6184015675515,sin
0.01,526.315789473684,23.6490254890704,sin
0.01,533.834586466165,23.6684540100973,sin
0.01,541.353383458647,23.6758773831968,sin
0.01,548.872180451128,23.6704858609336,sin
0.01,556.390977443609,23.6524072791642,sin
0.01,563.90977443609,23.6232214236819,sin
0.01,571.428571428571,23.5809939048981,sin
0.01,578.947368421053,23.5252786361527,sin
0.01,586.466165413534,23.4556295307857,sin
0.01,593.984962406015,23.3737139433035,sin
0.01,601.503759398496,23.2803681823214,sin
0.01,609.022556390977,23.1743886379111,sin
0.01,616.541353383459,23.0557471969253,sin
0.01,624.06015037594,22.9244157462164,sin
0.01,631.578947368421,22.786787724583,sin
0.01,639.097744360902,22.6485834880216,sin
0.01,646.616541353383,22.5120114241398,sin
0.01,654.135338345865,22.4085436133841,sin
0.01,661.654135338346,22.3464918084453,sin
0.01,669.172932330827,22.3261919129704,sin
0.01,676.691729323308,22.3319883197203,sin
0.01,684.210526315789,22.3557691452946,sin
0.01,691.729323308271,22.3924227214932,sin
0.01,699.248120300752,22.4406725948178,sin
0.01,706.766917293233,22.4995994073302,sin
0.01,714.285714285714,22.5679237452514,sin
0.01,721.804511278195,22.6442787396208,sin
0.01,729.323308270677,22.7269498639357,sin
0.01,736.842105263158,22.8139795120045,sin
0.01,744.360902255639,22.9043359592661,sin
0.01,751.87969924812,22.9961342977524,sin
0.01,759.398496240602,23.0877335427167,sin
0.01,766.917293233083,23.1775035667226,sin
0.01,774.436090225564,23.2656470856667,sin
0.01,781.954887218045,23.3503497097164,sin
0.01,789.473684210526,23.4300386902409,sin
0.01,796.992481203008,23.5033694511525,sin
0.01,804.511278195489,23.5705803306788,sin
0.01,812.03007518797,23.6306156472706,sin
0.01,819.548872180451,23.6820129339187,sin
0.01,827.067669172932,23.7237273771948,sin
0.01,834.586466165414,23.7558577544162,sin
0.01,842.105263157895,23.7780212354768,sin
0.01,849.624060150376,23.7889210244259,sin
0.01,857.142857142857,23.7877835459211,sin
0.01,864.661654135338,23.7747796204043,sin
0.01,872.18045112782,23.7502457061877,sin
0.01,879.699248120301,23.7129957058398,sin
0.01,887.218045112782,23.6625490045673,sin
0.01,894.736842105263,23.5996642113086,sin
